-0.125,0.115,0.715
-0.125,0.115,0.715
-0.125,0.115,0.715
-0.125,0.125,0.705
-0.115,0.125,0.705
-0.115,0.125,0.695
-0.105,0.135,0.695
-0.095,0.135,0.685
-0.095,0.145,0.685
-0.085,0.145,0.685
-0.085,0.155,0.675
-0.075,0.165,0.675
-0.075,0.165,0.665
-0.075,0.165,0.655
-0.065,0.175,0.655
-0.055,0.175,0.645
-0.055,0.185,0.645
-0.055,0.185,0.635
-0.045,0.195,0.635
-0.035,0.195,0.625
-0.035,0.205,0.625
-0.035,0.215,0.625
-0.025,0.215,0.615
-0.025,0.225,0.605
-0.025,0.235,0.595
-0.025,0.245,0.585
-0.025,0.255,0.575
-0.025,0.265,0.565
-0.025,0.275,0.555
-0.025,0.285,0.545
-0.025,0.295,0.535
-0.025,0.305,0.525
-0.025,0.315,0.515
-0.025,0.325,0.505
-0.025,0.335,0.495
-0.025,0.345,0.485
-0.025,0.355,0.475
-0.025,0.365,0.465
-0.025,0.375,0.455
-0.025,0.385,0.445
-0.025,0.395,0.435
-0.025,0.405,0.425
-0.025,0.415,0.415
-0.025,0.425,0.405
-0.025,0.435,0.395
-0.025,0.445,0.385
-0.025,0.455,0.375
-0.025,0.465,0.365
-0.025,0.475,0.355
-0.025,0.485,0.345
-0.025,0.485,0.335
-0.025,0.485,0.325
-0.025,0.495,0.315
-0.015,0.495,0.315
-0.015,0.495,0.305
-0.015,0.495,0.295
-0.015,0.495,0.285
-0.015,0.495,0.275
-0.015,0.495,0.265
-0.015,0.495,0.255
-0.015,0.505,0.225
-0.015,0.505,0.215
-0.015,0.505,0.215
-0.015,0.505,0.215
-0.025,0.495,0.215
-0.025,0.495,0.225
-0.035,0.495,0.225
-0.035,0.485,0.235
-0.045,0.485,0.245
-0.045,0.475,0.245
-0.045,0.465,0.245
-0.055,0.455,0.245
-0.065,0.445,0.245
-0.075,0.435,0.245
-0.085,0.425,0.245
-0.095,0.425,0.245
-0.105,0.425,0.245
-0.115,0.415,0.245
-0.125,0.405,0.245
-0.135,0.395,0.245
-0.145,0.385,0.245
-0.155,0.375,0.245
-0.165,0.365,0.245
-0.175,0.355,0.245
-0.185,0.345,0.245
-0.195,0.335,0.245
-0.205,0.325,0.245
-0.215,0.315,0.245
-0.225,0.305,0.245
-0.235,0.295,0.245
-0.245,0.285,0.245
-0.255,0.275,0.245
-0.265,0.265,0.245
-0.275,0.255,0.245
-0.285,0.245,0.245
-0.295,0.235,0.245
-0.305,0.225,0.245
-0.315,0.215,0.245
-0.325,0.205,0.245
-0.335,0.195,0.245
-0.345,0.185,0.245
-0.355,0.175,0.245
-0.365,0.165,0.245
-0.375,0.155,0.245
-0.385,0.145,0.245
-0.395,0.135,0.245
-0.395,0.125,0.245
-0.405,0.125,0.245
-0.415,0.125,0.245
-0.425,0.125,0.245
-0.435,0.125,0.245
-0.445,0.115,0.255
-0.455,0.115,0.255
-0.465,0.115,0.255
-0.475,0.115,0.255
-0.485,0.115,0.255
-0.495,0.115,0.255
-0.505,0.115,0.255
-0.515,0.115,0.255
-0.525,0.115,0.255
-0.535,0.115,0.255
-0.545,0.115,0.255
-0.555,0.115,0.255
-0.565,0.115,0.255
-0.575,0.115,0.255
-0.585,0.115,0.255
-0.595,0.115,0.255
-0.615,0.115,0.255
